customer_id,kmeans_cluster
39634,5.0
43460,2.0
23937,0.0
2431,0.0
10090,3.0
24058,5.0
26709,0.0
47768,2.0
29757,0.0
33207,2.0
42493,2.0
24099,4.0
27655,0.0
28439,3.0
15019,0.0
42461,2.0
13548,0.0
19701,1.0
22276,2.0
24670,1.0
12394,3.0
39945,2.0
21907,2.0
39059,3.0
16880,5.0
28426,5.0
33151,6.0
21623,1.0
37350,5.0
2884,3.0
39427,6.0
9304,1.0
1833,0.0
33425,4.0
2030,3.0
18510,0.0
30234,2.0
16910,2.0
35254,1.0
35404,2.0
40311,6.0
39469,2.0
11796,0.0
19908,1.0
49813,2.0
29867,0.0
22350,3.0
39087,6.0
9042,0.0
19871,2.0
49145,6.0
29418,1.0
35626,5.0
48729,4.0
18125,1.0
26769,0.0
49776,6.0
34352,0.0
14841,1.0
46366,5.0
35051,6.0
43511,2.0
32771,6.0
14762,3.0
16396,0.0
24461,1.0
41634,6.0
39977,4.0
39132,0.0
14871,0.0
48615,2.0
15825,0.0
8186,0.0
46314,6.0
20325,0.0
21570,2.0
4108,3.0
3012,0.0
48725,2.0
36988,6.0
6054,1.0
30382,6.0
16781,3.0
15338,1.0
25509,6.0
10857,0.0
21840,3.0
32685,5.0
36010,2.0
33428,2.0
14887,0.0
20257,3.0
2780,0.0
5728,1.0
11534,0.0
35858,5.0
21694,5.0
41179,2.0
48271,2.0
21585,0.0
23148,5.0
46147,4.0
1117,1.0
22643,0.0
23396,3.0
34592,1.0
21335,0.0
28627,0.0
17642,1.0
23208,2.0
48259,6.0
29207,0.0
34391,2.0
22301,1.0
41984,6.0
28540,3.0
29573,1.0
13506,0.0
34540,3.0
44552,2.0
40461,2.0
6629,1.0
22914,3.0
21878,2.0
39703,1.0
41077,6.0
23538,2.0
10776,3.0
36628,2.0
28688,6.0
30647,6.0
40267,2.0
26317,6.0
40469,2.0
16348,0.0
17727,3.0
10271,0.0
5338,3.0
14456,3.0
17042,1.0
39959,2.0
18565,0.0
26957,0.0
31437,1.0
39168,2.0
5499,3.0
